Region_Sheet,Region,Discount_Rate_%,Load_Profile,Cost_PVBatt,Cost_Diesel,Diesel_Price_Code,System,System_raw,Percent_Load_Target,PV_kW,Battery_kW,Battery_kWh,Generator_kW,Fuel_cost_$,REopt_LCC_$,PV_capex_$,PV_OandM_$,Battery_capex_$,Battery_OandM_$,Diesel_capex_$,Diesel_OandM_kW_$,Diesel_OandM_kWh_$,LCOE_$_per_kWh
Accra_10,Accra,10,average,med,med,44,PV+battery,PV+battery,80,16.913,4.09,36.135,0.0,0.0,73014.3,30442.68,5183.513919751393,29696.87237351375,7690.9831933736,0.0,0.0,0.0,0.5438734894874744
Accra_10,Accra,10,average,high,high,32,PV+battery+diesel,PV+battery+diesel,80,5.039,0.0,0.0,8.0,42775.39466182806,65022.2,11086.218,1887.664467136219,0.0,0.0,5542.16,1702.712744,2026.417265862335,0.48434143459777684
Accra_10,Accra,10,average,high,high,36,PV+battery+diesel,PV+battery+diesel,80,5.226,0.0,0.0,8.0,47635.44528241529,70342.3,11496.804,1957.575468607017,0.0,0.0,5542.16,1702.712744,2005.915151309436,0.5239701285854247
Accra_10,Accra,10,average,high,high,44,PV+battery+diesel,PV+battery+diesel,80,5.629,0.038,0.162,8.0,56891.41965843434,80828.4,12384.372,2108.702803083677,195.84481098763,41.45203093885681,5542.16,1702.712744,1960.103142756252,0.6020796468320504
Accra_10,Accra,10,average,high,low,32,PV+battery+diesel,PV+battery+diesel,80,4.415,0.0,0.0,8.0,29776.06733189141,48288.9,9713.308,1653.897331799715,0.0,0.0,3325.28,1702.712744,2115.891767727018,0.3596973818349516
Accra_10,Accra,10,average,high,low,36,PV+battery+diesel,PV+battery+diesel,80,4.625,0.0,0.0,8.0,32961.07019977618,51979.3,10174.164,1732.367870234601,0.0,0.0,3325.28,1702.712744,2081.972039679207,0.3871866644221239
Accra_10,Accra,10,average,high,low,44,PV+battery+diesel,PV+battery+diesel,80,4.926,0.0,0.0,8.0,39475.72275472998,59229.1,10838.19,1845.432423489336,0.0,0.0,3325.28,1702.712744,2040.109616670008,0.44118942859415994
Accra_10,Accra,10,average,high,med,32,PV+battery+diesel,PV+battery+diesel,80,4.775,0.0,0.0,8.0,36240.00535586615,56731.9,10504.89,1788.681007731816,0.0,0.0,4433.76,1702.712744,2060.176131123477,0.42258812887687003
Accra_10,Accra,10,average,high,med,36,PV+battery+diesel,PV+battery+diesel,80,4.955,0.0,0.0,8.0,40301.50876434275,61234.1,10901.704,1856.247033211578,0.0,0.0,4433.76,1702.712744,2036.502186262578,0.4561243981333103
Accra_10,Accra,10,average,high,med,44,PV+battery+diesel,PV+battery+diesel,80,5.257,0.0,0.0,8.0,48440.45591776746,70115.3,11564.85,1969.16174774484,0.0,0.0,4433.76,1702.712744,2002.726396022749,0.5222792367722641
Accra_10,Accra,10,average,low,high,32,PV+battery+diesel,PV+battery+diesel,80,7.177,0.709,4.805,8.0,35022.81635185606,59534.6,10047.618,1710.820721544379,3029.745638763036,818.126230088096,5542.16,1702.712744,1659.151021647028,0.4434650561224444
Accra_10,Accra,10,average,low,high,36,PV+battery+diesel,PV+battery+diesel,80,14.362,3.259,27.78,8.0,10094.4436822338,62950.9,20106.38,3423.538946170672,16926.14682967103,4730.06789432224,5542.16,1702.712744,425.0741733636609,0.4689126054673818
Accra_10,Accra,10,average,low,high,44,PV+battery+diesel,PV+battery+diesel,80,16.873,4.138,36.176,8.0,0.0,63016.5,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,5542.16,1702.712744,0.0,0.4694012508547974
Accra_10,Accra,10,average,low,low,32,PV+battery+diesel,PV+battery+diesel,80,5.152,0.0,0.0,8.0,28339.71832392702,43823.4,7212.128,1228.018225695923,0.0,0.0,3325.28,1702.712744,2013.824593856827,0.32643448583640994
Accra_10,Accra,10,average,low,low,36,PV+battery+diesel,PV+battery+diesel,80,5.347,0.0,0.0,8.0,31563.6845677019,47347.9,7486.093999999999,1274.666765658194,0.0,0.0,3325.28,1702.712744,1993.706768042249,0.3526880021160785
Accra_10,Accra,10,average,low,low,44,PV+battery+diesel,PV+battery+diesel,80,6.022,0.273,1.353,8.0,36296.57025993926,54203.6,8430.408,1435.456313871955,905.2977995009257,230.433223783752,3325.28,1702.712744,1875.810672283844,0.40375516953231444
Accra_10,Accra,10,average,low,med,32,PV+battery+diesel,PV+battery+diesel,80,5.625,0.084,0.35,8.0,34328.40423743981,51937.3,7875.0,1340.8862859,243.7188451371574,59.5930730559816,4433.76,1702.712744,1951.505203574251,0.3868738121923761
Accra_10,Accra,10,average,low,med,36,PV+battery+diesel,PV+battery+diesel,80,6.294,0.38,2.141,8.0,36085.91989142064,56119.0,8811.194,1500.293231365634,1395.483275374661,364.6018798727201,4433.76,1702.712744,1823.481477626334,0.4180227209813362
Accra_10,Accra,10,average,low,med,44,PV+battery+diesel,PV+battery+diesel,80,16.873,4.138,36.176,8.0,0.0,61908.1,23622.2,4022.182098131681,21967.42924685202,6159.75064982184,4433.76,1702.712744,0.0,0.461144931534501
Accra_10,Accra,10,average,med,high,32,PV+battery+diesel,PV+battery+diesel,80,5.385,0.0,0.0,8.0,42008.11115898421,62588.1,9692.982,1650.436397876261,0.0,0.0,5542.16,1702.712744,1990.068412736226,0.4662101581113699
Accra_10,Accra,10,average,med,high,36,PV+battery+diesel,PV+battery+diesel,80,5.684,0.084,0.36,8.0,46213.45653032949,67797.9,10231.578,1742.143825183003,341.59623507549,76.620157928163,5542.16,1702.712744,1946.035606447629,0.5050172425527991
Accra_10,Accra,10,average,med,high,44,PV+battery+diesel,PV+battery+diesel,80,7.932,0.961,6.989,8.0,44362.46418491384,77256.7,14278.194,2431.166288510434,5922.810620485349,1487.47708281282,5542.16,1702.712744,1528.437961142878,0.5754745442370462
Accra_10,Accra,10,average,med,low,32,PV+battery+diesel,PV+battery+diesel,80,4.754,0.0,0.0,8.0,29033.5998412404,46140.1,8556.678,1456.956467690443,0.0,0.0,3325.28,1702.712744,2063.131917550605,0.3436912658520457
Accra_10,Accra,10,average,med,low,36,PV+battery+diesel,PV+battery+diesel,80,4.938,0.0,0.0,8.0,32275.35998307833,49745.5,8888.364000000001,1513.433065611082,0.0,0.0,3325.28,1702.712744,2038.659444249676,0.3705473951171094
Accra_10,Accra,10,average,med,low,44,PV+battery+diesel,PV+battery+diesel,80,5.232,0.0,0.0,8.0,38801.64065124646,56857.7,9417.618,1603.549818672379,0.0,0.0,3325.28,1702.712744,2005.272980738444,0.4235251957935907
Accra_10,Accra,10,average,med,med,32,PV+battery+diesel,PV+battery+diesel,80,5.071,0.0,0.0,8.0,35581.98764559241,54424.7,9127.62,1554.171489638928,0.0,0.0,4433.76,1702.712744,2022.769062132991,0.40540211305605817
Accra_10,Accra,10,average,med,med,36,PV+battery+diesel,PV+battery+diesel,80,5.274,0.0,0.0,8.0,39598.42372364655,58847.1,9493.145999999999,1616.410067485262,0.0,0.0,4433.76,1702.712744,2000.974131199459,0.43834396307597767
Accra_10,Accra,10,average,med,med,44,PV+battery+diesel,PV+battery+diesel,80,5.725,0.107,0.463,8.0,46870.54650104672,67542.1,10304.37,1754.538211789128,438.244561733345,98.505124826795,4433.76,1702.712744,1937.819925415438,0.5031118234963828
Accra_10,Accra,10,average,high,high,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,69261.25272938868,79790.1,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.5593839932055797
Accra_10,Accra,10,average,high,high,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,77918.90932056226,88447.8,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632643,0.6200804805890514
Accra_10,Accra,10,average,high,high,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,95234.22250290943,105763.0,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.74147205321715
Accra_10,Accra,10,average,high,low,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,46174.16848625912,54486.1,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.3819853865604697
Accra_10,Accra,10,average,high,low,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,51945.93954704152,60257.9,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.4224497114827842
Accra_10,Accra,10,average,high,low,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,63489.4816686063,71801.5,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.5033783613274131
Accra_10,Accra,10,average,high,med,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,57717.71060782391,67138.2,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.47068539095244705
Accra_10,Accra,10,average,high,med,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,64932.4244338019,74352.9,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.5212654465706289
Accra_10,Accra,10,average,high,med,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,79361.8520857579,88782.3,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.6224255578069928
Accra_10,Accra,10,average,low,high,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,69261.25272938868,79790.1,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.5593839932055797
Accra_10,Accra,10,average,low,high,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,77918.90932056226,88447.8,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632643,0.6200804805890514
Accra_10,Accra,10,average,low,high,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,95234.22250290943,105763.0,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.74147205321715
Accra_10,Accra,10,average,low,low,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,46174.16848625912,54486.1,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.3819853865604697
Accra_10,Accra,10,average,low,low,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,51945.93954704152,60257.9,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.4224497114827842
Accra_10,Accra,10,average,low,low,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,63489.4816686063,71801.5,0.0,0.0,0.0,0.0,3325.28,1702.712744,3281.143271632643,0.5033783613274131
Accra_10,Accra,10,average,low,med,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,57717.71060782391,67138.2,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.47068539095244705
Accra_10,Accra,10,average,low,med,36,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,64932.4244338019,74352.9,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.5212654465706289
Accra_10,Accra,10,average,low,med,44,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,79361.8520857579,88782.3,0.0,0.0,0.0,0.0,4433.76,1702.712744,3281.143271632643,0.6224255578069928
Accra_10,Accra,10,average,med,high,32,Diesel only,Diesel only,85,0.0,0.0,0.0,8.0,69261.25272938868,79790.1,0.0,0.0,0.0,0.0,5542.16,1702.712744,3281.143271632642,0.5593839932055797
