alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS85_PV+battery+diesel,0.747582614024104,Lusaka,85,PV+battery+diesel,vikor,sustainable,10254
Lodwar_PLS85_PV+battery+diesel,0.7477019299065657,Lodwar,85,PV+battery+diesel,vikor,sustainable,10255
Lusaka_PLS85_PV+battery+diesel,0.7477735584134144,Lusaka,85,PV+battery+diesel,vikor,sustainable,10256
Accra_PLS85_PV+battery+diesel,0.7477755784521803,Accra,85,PV+battery+diesel,vikor,sustainable,10257
Accra_PLS85_PV+battery+diesel,0.7477894902235295,Accra,85,PV+battery+diesel,vikor,sustainable,10258
Accra_PLS85_PV+battery+diesel,0.7477972360573686,Accra,85,PV+battery+diesel,vikor,sustainable,10259
Lodwar_PLS85_PV+battery+diesel,0.7478812742684302,Lodwar,85,PV+battery+diesel,vikor,sustainable,10260
Lodwar_PLS85_PV+battery+diesel,0.7481243788313213,Lodwar,85,PV+battery+diesel,vikor,sustainable,10261
Lodwar_PLS85_PV+battery+diesel,0.7481383661642487,Lodwar,85,PV+battery+diesel,vikor,sustainable,10262
Accra_PLS85_PV+battery+diesel,0.7481742430209999,Accra,85,PV+battery+diesel,vikor,sustainable,10263
Accra_PLS85_PV+battery+diesel,0.7482456295446702,Accra,85,PV+battery+diesel,vikor,sustainable,10264
Lusaka_PLS85_PV+battery+diesel,0.7483516079105335,Lusaka,85,PV+battery+diesel,vikor,sustainable,10265
Lodwar_PLS85_PV+battery+diesel,0.7483995214630228,Lodwar,85,PV+battery+diesel,vikor,sustainable,10266
Lodwar_PLS85_PV+battery+diesel,0.7486353788264242,Lodwar,85,PV+battery+diesel,vikor,sustainable,10267
Lusaka_PLS85_Diesel only,0.7486576967785294,Lusaka,85,Diesel only,vikor,sustainable,10268
Accra_PLS85_Diesel only,0.7486576967785294,Accra,85,Diesel only,vikor,sustainable,10269
Lusaka_PLS85_Diesel only,0.7486576967785294,Lusaka,85,Diesel only,vikor,sustainable,10270
Lodwar_PLS85_Diesel only,0.7486576967785294,Lodwar,85,Diesel only,vikor,sustainable,10271
Accra_PLS85_Diesel only,0.7486576967785294,Accra,85,Diesel only,vikor,sustainable,10272
Lusaka_PLS85_Diesel only,0.7486576967785294,Lusaka,85,Diesel only,vikor,sustainable,10273
