alternative,Q,Region,PLS,System,method,profile,rank
Lusaka_PLS100_PV+battery+diesel,0.12218564592716821,Lusaka,100,PV+battery+diesel,vikor,resilient,1568
Lodwar_PLS100_PV+battery+diesel,0.12219032263640775,Lodwar,100,PV+battery+diesel,vikor,resilient,1569
Lusaka_PLS100_PV+battery+diesel,0.12228614851172784,Lusaka,100,PV+battery+diesel,vikor,resilient,1570
Lusaka_PLS100_Diesel only,0.12231697437019053,Lusaka,100,Diesel only,vikor,resilient,1571
Lodwar_PLS100_Diesel only,0.12231697437019053,Lodwar,100,Diesel only,vikor,resilient,1572
Lusaka_PLS100_Diesel only,0.12231697437019053,Lusaka,100,Diesel only,vikor,resilient,1573
Accra_PLS100_Diesel only,0.12231697437019053,Accra,100,Diesel only,vikor,resilient,1574
Accra_PLS100_Diesel only,0.12231697437019053,Accra,100,Diesel only,vikor,resilient,1575
Accra_PLS100_Diesel only,0.12231697437019053,Accra,100,Diesel only,vikor,resilient,1576
Lodwar_PLS100_Diesel only,0.12231697437019053,Lodwar,100,Diesel only,vikor,resilient,1577
Lodwar_PLS100_Diesel only,0.12231697437019053,Lodwar,100,Diesel only,vikor,resilient,1578
Lusaka_PLS100_Diesel only,0.12231697437019053,Lusaka,100,Diesel only,vikor,resilient,1579
Lodwar_PLS100_PV+battery+diesel,0.12232213073826957,Lodwar,100,PV+battery+diesel,vikor,resilient,1580
Lusaka_PLS100_PV+battery+diesel,0.12234409211767203,Lusaka,100,PV+battery+diesel,vikor,resilient,1581
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1582
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1583
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1584
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1585
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1586
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1587
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1588
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1589
Lodwar_PLS100_PV+battery,0.1224056346997918,Lodwar,100,PV+battery,vikor,resilient,1590
Lusaka_PLS100_PV+battery+diesel,0.12245655961161539,Lusaka,100,PV+battery+diesel,vikor,resilient,1591
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1592
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1593
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1594
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1595
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1596
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1597
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1598
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1599
Accra_PLS100_PV+battery,0.12249688494894906,Accra,100,PV+battery,vikor,resilient,1600
Lusaka_PLS100_PV+battery+diesel,0.12251617173049668,Lusaka,100,PV+battery+diesel,vikor,resilient,1601
Lusaka_PLS100_PV+battery+diesel,0.12253631194869742,Lusaka,100,PV+battery+diesel,vikor,resilient,1602
Accra_PLS100_PV+battery+diesel,0.122579660795631,Accra,100,PV+battery+diesel,vikor,resilient,1603
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1604
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1605
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1606
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1607
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1608
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1609
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1610
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1611
Accra_PLS100_PV+battery,0.12260143199266635,Accra,100,PV+battery,vikor,resilient,1612
Lusaka_PLS100_Diesel only,0.12264866277586015,Lusaka,100,Diesel only,vikor,resilient,1613
Lodwar_PLS100_Diesel only,0.12264866277586015,Lodwar,100,Diesel only,vikor,resilient,1614
Lusaka_PLS100_Diesel only,0.12264866277586015,Lusaka,100,Diesel only,vikor,resilient,1615
Accra_PLS100_Diesel only,0.12264866277586015,Accra,100,Diesel only,vikor,resilient,1616
Lodwar_PLS100_Diesel only,0.12264866277586015,Lodwar,100,Diesel only,vikor,resilient,1617
Lusaka_PLS100_Diesel only,0.12264866277586015,Lusaka,100,Diesel only,vikor,resilient,1618
Accra_PLS100_Diesel only,0.12264866277586015,Accra,100,Diesel only,vikor,resilient,1619
Accra_PLS100_Diesel only,0.12264866277586015,Accra,100,Diesel only,vikor,resilient,1620
Lodwar_PLS100_Diesel only,0.12264866277586015,Lodwar,100,Diesel only,vikor,resilient,1621
Lodwar_PLS100_PV+battery+diesel,0.12265828600132538,Lodwar,100,PV+battery+diesel,vikor,resilient,1622
Lusaka_PLS100_PV+battery+diesel,0.12266342536944921,Lusaka,100,PV+battery+diesel,vikor,resilient,1623
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1624
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1625
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1626
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1627
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1628
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1629
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1630
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1631
Lodwar_PLS100_PV+battery,0.12267563543702423,Lodwar,100,PV+battery,vikor,resilient,1632
Lusaka_PLS100_PV+battery+diesel,0.12268445730293599,Lusaka,100,PV+battery+diesel,vikor,resilient,1633
Accra_PLS100_PV+battery+diesel,0.12268770954509063,Accra,100,PV+battery+diesel,vikor,resilient,1634
Accra_PLS100_PV+battery+diesel,0.12284570496769177,Accra,100,PV+battery+diesel,vikor,resilient,1635
Accra_PLS100_Diesel only,0.12284959803611077,Accra,100,Diesel only,vikor,resilient,1636
Lusaka_PLS100_Diesel only,0.12284959803611077,Lusaka,100,Diesel only,vikor,resilient,1637
Lusaka_PLS100_Diesel only,0.12284959803611077,Lusaka,100,Diesel only,vikor,resilient,1638
Lusaka_PLS100_Diesel only,0.12284959803611077,Lusaka,100,Diesel only,vikor,resilient,1639
Lodwar_PLS100_Diesel only,0.12284959803611077,Lodwar,100,Diesel only,vikor,resilient,1640
Accra_PLS100_Diesel only,0.12284959803611077,Accra,100,Diesel only,vikor,resilient,1641
Accra_PLS100_Diesel only,0.12284959803611077,Accra,100,Diesel only,vikor,resilient,1642
Lodwar_PLS100_Diesel only,0.12284959803611077,Lodwar,100,Diesel only,vikor,resilient,1643
Lodwar_PLS100_Diesel only,0.12284959803611077,Lodwar,100,Diesel only,vikor,resilient,1644
Accra_PLS100_PV+battery+diesel,0.1228592498127975,Accra,100,PV+battery+diesel,vikor,resilient,1645
Accra_PLS100_PV+battery+diesel,0.12289290734137093,Accra,100,PV+battery+diesel,vikor,resilient,1646
