alternative,score,Region,PLS,System,method,profile,rank
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9586
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9587
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9588
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9589
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9590
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9591
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9592
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9593
Lusaka_PLS80_PV+battery,0.8037884809528122,Lusaka,80,PV+battery,topsis,resilient,9594
Accra_PLS100_PV+battery+diesel,0.8037879455432315,Accra,100,PV+battery+diesel,topsis,resilient,9595
Lodwar_PLS95_Diesel only,0.8036841555711046,Lodwar,95,Diesel only,topsis,resilient,9596
Accra_PLS95_Diesel only,0.8036841555711046,Accra,95,Diesel only,topsis,resilient,9597
Lusaka_PLS95_Diesel only,0.8036841555711046,Lusaka,95,Diesel only,topsis,resilient,9598
Accra_PLS95_Diesel only,0.8036841555711046,Accra,95,Diesel only,topsis,resilient,9599
Lusaka_PLS95_Diesel only,0.8036841555711046,Lusaka,95,Diesel only,topsis,resilient,9600
Lodwar_PLS95_Diesel only,0.8036841555711046,Lodwar,95,Diesel only,topsis,resilient,9601
Lodwar_PLS95_Diesel only,0.8036841555711046,Lodwar,95,Diesel only,topsis,resilient,9602
Accra_PLS95_Diesel only,0.8036841555711046,Accra,95,Diesel only,topsis,resilient,9603
Lusaka_PLS95_Diesel only,0.8036841555711046,Lusaka,95,Diesel only,topsis,resilient,9604
Lusaka_PLS80_PV+battery+diesel,0.803674735437304,Lusaka,80,PV+battery+diesel,topsis,resilient,9605
Accra_PLS85_PV+battery+diesel,0.8035320770130223,Accra,85,PV+battery+diesel,topsis,resilient,9606
Lusaka_PLS85_PV+battery+diesel,0.8035073590699824,Lusaka,85,PV+battery+diesel,topsis,resilient,9607
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9608
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9609
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9610
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9611
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9612
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9613
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9614
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9615
Accra_PLS100_PV+battery,0.8034952866582563,Accra,100,PV+battery,topsis,resilient,9616
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9617
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9618
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9619
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9620
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9621
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9622
Accra_PLS95_PV+battery,0.8034319933953303,Accra,95,PV+battery,topsis,resilient,9623
