alternative,Q,Region,PLS,System,method,profile,rank
Accra_PLS100_PV+battery+diesel,0.30642825145358105,Accra,100,PV+battery+diesel,vikor,economic,2262
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2263
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2264
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2265
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2266
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2267
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2268
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2269
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2270
Lodwar_PLS100_PV+battery,0.30646097435604264,Lodwar,100,PV+battery,vikor,economic,2271
Lodwar_PLS100_PV+battery+diesel,0.30650481081671854,Lodwar,100,PV+battery+diesel,vikor,economic,2272
Accra_PLS100_PV+battery+diesel,0.30650974508134904,Accra,100,PV+battery+diesel,vikor,economic,2273
Accra_PLS100_PV+battery+diesel,0.30651660951639703,Accra,100,PV+battery+diesel,vikor,economic,2274
Accra_PLS100_PV+battery+diesel,0.30660605269698765,Accra,100,PV+battery+diesel,vikor,economic,2275
Lusaka_PLS100_PV+battery+diesel,0.30663440306064416,Lusaka,100,PV+battery+diesel,vikor,economic,2276
Accra_PLS100_PV+battery+diesel,0.3067197402667556,Accra,100,PV+battery+diesel,vikor,economic,2277
Lodwar_PLS100_PV+battery+diesel,0.30675439558798245,Lodwar,100,PV+battery+diesel,vikor,economic,2278
Lodwar_PLS100_PV+battery+diesel,0.3067767264656182,Lodwar,100,PV+battery+diesel,vikor,economic,2279
Lodwar_PLS100_PV+battery+diesel,0.30682704601617256,Lodwar,100,PV+battery+diesel,vikor,economic,2280
Lodwar_PLS100_PV+battery+diesel,0.3069377041207037,Lodwar,100,PV+battery+diesel,vikor,economic,2281
Lodwar_PLS100_PV+battery+diesel,0.3069553298551929,Lodwar,100,PV+battery+diesel,vikor,economic,2282
Lodwar_PLS100_PV+battery+diesel,0.3069877244698583,Lodwar,100,PV+battery+diesel,vikor,economic,2283
Lodwar_PLS100_PV+battery+diesel,0.3071122858607634,Lodwar,100,PV+battery+diesel,vikor,economic,2284
Accra_PLS100_PV+battery+diesel,0.307400890489901,Accra,100,PV+battery+diesel,vikor,economic,2285
Accra_PLS100_PV+battery+diesel,0.3074286619555502,Accra,100,PV+battery+diesel,vikor,economic,2286
Lusaka_PLS100_PV+battery+diesel,0.30771358866974347,Lusaka,100,PV+battery+diesel,vikor,economic,2287
Lodwar_PLS100_PV+battery+diesel,0.3077905829162727,Lodwar,100,PV+battery+diesel,vikor,economic,2288
