algorithm,config,objective_best,objective_mean,objective_std,rho_mean,cr_mean,score_delta_mean,entropy_diff_mean,critic_diff_mean,merec_diff_mean,lopcow_diff_mean,mean_diff_mean,bayes_diff_mean,p_value_vs_baseline,significant_vs_baseline,better_than_baseline,w_w_cost,w_w_emissions,w_w_reliability,w_w_social,seed_best
MTS,mts_4,0.1054840664,0.1366892613,0.0288503711,1.0000000000,0.0000000000,0.4832927363,0.1378475435,0.1366892613,0.1436673488,0.1487398478,0.1379213800,0.1984417427,0.0000000000,True,True,0.1685925607,0.4697035264,0.1401447604,0.2215591526,151539943
MTS,mts_5,0.1054840664,0.1430766553,0.0393030194,0.9958333333,0.0000000000,0.5088687557,0.1444216932,0.1430766553,0.1495421967,0.1603896751,0.1456191721,0.2046489077,0.0000000000,True,True,0.1688251836,0.2304026294,0.1947853289,0.4059868581,433698847
MTS,mts_6,0.1054840664,0.1244419830,0.0227701692,1.0000000000,0.0000000000,0.4649948646,0.1243681337,0.1244419830,0.1283348565,0.1323861866,0.1284553885,0.1815731391,0.0000000000,True,True,0.1685672751,0.3461782473,0.1535050785,0.3317493991,84388104
MTS,mts_7,0.1054840664,0.1361116205,0.0285180078,1.0000000000,0.0000000000,0.4700026063,0.1365712180,0.1361116205,0.1411813172,0.1448347285,0.1394452817,0.1953995748,0.0000000000,True,True,0.1685383568,0.2198554605,0.3090918241,0.3025143586,723322635
MTS,mts_8,0.1054840664,0.1313045218,0.0305622435,1.0000000000,0.0000000000,0.4575761947,0.1318509106,0.1313045218,0.1359874339,0.1478771387,0.1358852674,0.1910980231,0.0000000000,True,True,0.1685523378,0.3517673147,0.2545558021,0.2251245454,113728822
WILB,wilb_1,0.1054840664,0.1343219868,0.0372287420,1.0000000000,0.0000000000,0.4833432681,0.1355511487,0.1343219868,0.1425106175,0.1466657715,0.1337444529,0.1952216620,0.0000000000,True,True,0.1690016880,0.2129843001,0.2257114007,0.3923026112,284720082
WILB,wilb_2,0.1054840664,0.1295896552,0.0358142900,0.9958333333,0.0000000000,0.4948774709,0.1309870315,0.1295896552,0.1377993865,0.1445980320,0.1302563426,0.1918350726,0.0000000000,True,True,0.1695062889,0.3427637529,0.3451435803,0.1425863779,642566260
WILB,wilb_3,0.1054840664,0.1321588484,0.0351885045,1.0000000000,0.0000000000,0.4826053627,0.1327226888,0.1321588484,0.1385694716,0.1396739358,0.1316849694,0.1903128283,0.0000000000,True,True,0.1699589037,0.2567791570,0.3950922463,0.1781696929,239878021
WILB,wilb_4,0.1054840664,0.1259054560,0.0337751206,1.0000000000,0.0000000000,0.4598376175,0.1265539126,0.1259054560,0.1331161947,0.1352790516,0.1240384017,0.1843961441,0.0000000000,True,True,0.1691636136,0.4449458929,0.2421322584,0.1437582351,232569940
WILB,wilb_5,0.1054840664,0.1277149634,0.0294069444,1.0000000000,0.0000000000,0.4593038091,0.1284308552,0.1277149634,0.1323903558,0.1528092404,0.1336677084,0.1892758772,0.0000000000,True,True,0.1692639546,0.4384646728,0.1396385774,0.2526327952,916348019
WILB,wilb_6,0.1054840664,0.1335329154,0.0346622740,1.0000000000,0.0000000000,0.4590791447,0.1338915262,0.1335329154,0.1382452577,0.1496943241,0.1363830826,0.1924128869,0.0000000000,True,True,0.1685541095,0.4477066172,0.1279302942,0.2558089790,935939822
WILB,wilb_7,0.1054840664,0.1255255933,0.0276820606,1.0000000000,0.0000000000,0.4765294599,0.1260398666,0.1255255933,0.1316111875,0.1374105646,0.1277573348,0.1850624869,0.0000000000,True,True,0.1691865149,0.4060240215,0.2400414510,0.1847480126,167719341
WILB,wilb_8,0.1054840664,0.1314611728,0.0355247724,1.0000000000,0.0000000000,0.5067530698,0.1316991987,0.1314611728,0.1372449504,0.1401682333,0.1332208466,0.1914574226,0.0000000000,True,True,0.1702108215,0.1910940211,0.2931547020,0.3455404554,817114285
ILS,ils_1,0.1054840664,0.1301459073,0.0341460593,1.0000000000,0.0000000000,0.4583225362,0.1303839259,0.1301459073,0.1337349330,0.1487226297,0.1358032438,0.1890334471,0.0000000000,True,True,0.1686722376,0.3274016837,0.3640365387,0.1398895400,118478577
ILS,ils_2,0.1054840664,0.1320552787,0.0274372671,1.0000000000,0.0000000000,0.4769334573,0.1333515410,0.1320552787,0.1384031629,0.1468257499,0.1360866522,0.1949055202,0.0000000000,True,True,0.1685557997,0.4019889336,0.1820817248,0.2473735419,623314870
ILS,ils_3,0.1054840664,0.1327329641,0.0349353922,0.9958333333,0.0000000000,0.4744725454,0.1324743148,0.1327329641,0.1354860554,0.1452428881,0.1373139237,0.1887869634,0.0000000000,True,True,0.1686163841,0.2067748940,0.3882287173,0.2363800046,808349753
ILS,ils_4,0.1054840664,0.1192124395,0.0223859765,1.0000000000,0.0000000000,0.4517141630,0.1196775107,0.1192124395,0.1251191775,0.1269627673,0.1202879250,0.1757304136,0.0000000000,True,True,0.1685427790,0.2231689370,0.3854841669,0.2228041171,124923679
