algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
HC_SA_PSO,kiz_hc_3,0.1055109199,1.0000000000,0.0000000000,0.5383420793,0.1028963243,0.1055109199,0.1056214186,0.1566234500,0.1141753347,0.1629045957,775368272,0.1686616118,0.5147355033,0.1287921877,0.1878106972,0.1356527667,0.0376039583,0.0000000000,True,True
HC_SA_PSO,kiz_sa_1,0.1055109199,1.0000000000,0.0000000000,0.5192067281,0.1029687827,0.1055109199,0.1056938770,0.0902326717,0.1071428571,0.1471510084,119796233,0.1685166952,0.3554259189,0.1870560636,0.2890013224,0.1252113921,0.0282173882,0.0000000000,True,True
HC_SA_PSO,kiz_sa_2,0.1055109199,1.0000000000,0.0000000000,0.6718555619,0.1006056623,0.1055109199,0.1033307566,0.0802601689,0.1071428571,0.1540907346,59324541,0.1732429358,0.2038849390,0.2564633231,0.3664088021,0.1294253341,0.0312799916,0.0000000000,True,True
HC_SA_PSO,kiz_sa_3,0.1055109199,1.0000000000,0.0000000000,0.6828438468,0.1084827071,0.1055109199,0.1203347726,0.0965468722,0.1071428571,0.1726574190,836988771,0.1686829738,0.1713115323,0.2505883173,0.4094171765,0.1398222613,0.0352344785,0.0000000000,True,True
HC_SA_PSO,kiz_pso_1,0.1055109199,1.0000000000,0.0000000000,0.6023122852,0.1029588595,0.1055109199,0.1056839538,0.0700699848,0.1071428571,0.1471410852,701355845,0.1685365415,0.2530179835,0.2273814375,0.3510640375,0.1422452377,0.0360356683,0.0000000000,True,True
HC_SA_PSO,kiz_pso_2,0.1055109199,1.0000000000,0.0000000000,0.5164167860,0.1029740032,0.1055109199,0.1056990975,0.0964414226,0.1071428571,0.1471562289,61114380,0.1685062541,0.3599066728,0.1746385618,0.2969485113,0.1454841711,0.0381780410,0.0000000000,True,True
PSO_SA,pso_sa_1,0.1055109199,1.0000000000,0.0000000000,0.5426567512,0.1029667591,0.1055109199,0.1056918535,0.1264894333,0.1071428571,0.1471489849,469345465,0.1685207422,0.4546083394,0.1612306795,0.2156402389,0.1373233334,0.0306662890,0.0000000000,True,True
PSO_SA,pso_sa_2,0.1055109199,1.0000000000,0.0000000000,0.5417578199,0.1029696710,0.1055109199,0.1056947653,0.0994230036,0.1071428571,0.1471518967,151326254,0.1685149185,0.4004813038,0.1860973073,0.2449064704,0.1481818262,0.0451219294,0.0000000000,True,True
PSO_SA,pso_sa_3,0.1055109199,1.0000000000,0.0000000000,0.9166028162,0.1029614741,0.1055109199,0.1056865684,0.0893487858,0.1071428571,0.1546314646,408982734,0.1685313122,0.2075151027,0.3834326045,0.2405209805,0.1648878161,0.0315374808,0.0000000000,True,True
PSO_SA,pso_sa_4,0.1055109199,1.0000000000,0.0000000000,0.5286653369,0.1029749198,0.1055109199,0.1057000142,0.0999790027,0.1071428571,0.1471571456,893915440,0.1685044208,0.4016037996,0.1678909765,0.2620008031,0.1570174338,0.0304439538,0.0000000000,True,True
PSO_SA,pso_sa_5,0.1055109199,1.0000000000,0.0000000000,0.7854479470,0.1029657234,0.1055109199,0.1056908177,0.0839179041,0.1071428571,0.1471479492,781682162,0.1685228136,0.2838136250,0.3258426306,0.2218209308,0.1449483345,0.0385156133,0.0000000000,True,True
PSO_SA,pso_sa_6,0.1055109199,1.0000000000,0.0000000000,0.8525601705,0.1029716537,0.1055109199,0.1056967481,0.1217328279,0.1071428571,0.1511815264,740416035,0.1685109530,0.3089031756,0.3763947882,0.1461910832,0.1387064980,0.0260623308,0.0000000000,True,True
PSO_SA,pso_sa_7,0.1055109199,1.0000000000,0.0000000000,0.9428746157,0.1029745877,0.1055109199,0.1056996821,0.1041620472,0.1071428571,0.1471568135,654849094,0.1685050850,0.2373800519,0.4127822186,0.1813326445,0.1577976330,0.0332775238,0.0000000000,True,True
PSO_SA,pso_sa_8,0.1055109199,1.0000000000,0.0000000000,0.6901082838,0.1029747447,0.1055109199,0.1056998390,0.0870515961,0.1071428571,0.1471569704,772201092,0.1685047712,0.3321986379,0.2837430442,0.2155535468,0.1564255304,0.0420881997,0.0000000000,True,True
